disease_name,name_length
孤立性蛋白尿伴有弥漫性膜性肾小球肾炎,18
主要作用于肌肉的其他和未特指制剂中毒,18
以强迫思维或穷思竭虑为主的强迫性障碍,18
使用可卡因质引起的其他精神和行为障碍,18
使用烟草急性中毒引起的精神和行为障碍,18
产褥期中脊髓和硬膜外麻醉的其他并发症,18
含有咖啡因的兴奋剂所致的精神病性障碍,18
在产程开始前首先察觉到的子宫内低氧症,18
地方性斑疹伤寒立克次体引起的斑疹伤寒,18
坐骨直肠窝周围神经和自主神经恶性肿瘤,18
坐骨直肠窝周围神经和自主神经良性肿瘤,18
妊娠期间脊髓和硬膜外麻醉的其他并发症,18
苯丙胺类兴奋剂所致的精神和行为障碍,17
有害性使用烟草引起的精神和行为障碍,17
有害性使用酒精引起的精神和行为障碍,17
泌尿器官的动态未定或动态未知的肿瘤,17
泌尿系(留置的)导管的机械性并发症,17
涉及早期过度生长的先天性畸形综合征,17
直肠周围周围神经和自主神经恶性肿瘤,17
翼腭窝周围神经和自主神经交界性肿瘤,17
老年人EBV阳性弥漫大B细胞淋巴瘤,17
肩胛区周围神经和自主神经交界性肿瘤,17
躯干结缔组织和其他软组织的良性肿瘤,17
营养不良相关性糖尿病伴有多个并发症,17
营养不良相关性糖尿病伴有眼的并发症,17
营养不良相关性糖尿病伴有肾的并发症,17
营养不良相关性糖尿病伴有酮症酸中毒,17
试管内授精后企图植入受精卵的并发症,17
躯干皮肤和皮下组织良性脂肪瘤样肿瘤,17
镇静剂或催眠剂所致的精神和行为障碍,17
雄激素类及其促组成代谢的同类药中毒,17
颞下窝周围神经和自主神经交界性肿瘤,17
慢性肾小球肾炎伴急进型肾小球性肾炎,17
慢性肾衰竭(肾功能不全)合并心包炎,17
四肢皮肤和皮下组织良性脂肪瘤样肿瘤,17
富T细胞/富组织细胞大B细胞淋巴瘤,17
使用致幻剂引起的残留性精神病性障碍,17
妊娠期原有的与营养不良有关的糖尿病,17
与其他特指的严重缺陷有关的免疫缺陷,17
主动脉移植物(置换)的机械性并发症,17
主要影响面部外貌的先天性畸形综合征,17
产程和分娩期间麻醉引起的吸入性肺炎,17
使用可卡因引起的残留性精神病性障碍,17
使用大麻类物质引起的精神和行为障碍,17
使用挥发性溶剂引起的精神和行为障碍,17
使用烟草质引起的其他精神和行为障碍,17
产程和分娩期间麻醉的其他肺部并发症,17
使用镇静剂或催眠剂引起的依赖综合征,17
妊娠合并肌肉骨骼系统和结缔组织疾病,17
使用镇静剂或催眠剂引起的遗忘综合征,17
使用阿片类物质引起的精神和行为障碍,17
双侧第一腕掌关节其他的继发性关节病,17
含有咖啡因的兴奋剂所致的遗忘综合征,17
噬红细胞性淋巴细胞与组织细胞增多症,17
NK细胞淋巴母细胞性白血病/淋巴瘤,17
复发性和持续性血尿伴有密集沉积物病,17
使用镇静剂或催眠剂引起的精神性障碍,17
翼腭窝周围神经和自主神经良性肿瘤,16
翼腭窝周围神经和自主神经恶性肿瘤,16
短暂后天性纯红细胞再生障碍性贫血,16
眼睑周围神经和自主神经交界性肿瘤,16
直肠阴道隔和阴道的子宫内膜异位症,16
极重度精神发育迟缓伴精神病性障碍,16
男性生殖器官其他特指的先天性畸形,16
男性生殖器官其他和未特指的原位癌,16
由疾病引起的继发性铁粒幼细胞贫血,16
截断术残端的其他和未特指的并发症,16
肩胛区周围神经和自主神经良性肿瘤,16
肩胛区周围神经和自主神经恶性肿瘤,16
颞下窝周围神经和自主神经良性肿瘤,16
胸部结缔组织和其他软组织良性肿瘤,16
腋下和上肢淋巴结继发性的恶性肿瘤,16
苯丙胺类兴奋剂所致的精神病性障碍,16
营养不良相关性糖尿病不伴有并发症,16
贾菲利希滕斯坦(-尤林格)综合征,16
躯干周围神经和自主神经交界性肿瘤,16
酚噻嗪抗精神病药和精神安定剂中毒,16
镇静剂或催眠剂所致的精神病性障碍,16
颞下窝周围神经和自主神经恶性肿瘤,16
慢性肾衰竭(肾功能不全)合并脑病,16
骶尾周围神经和自主神经交界性肿瘤,16
慢性肾衰竭(肾功能不全)合并贫血,16
转移性乳房佩吉特病和浸润性导管癌,16
慢性肾小球膜毛细血管性肾小球肾炎,16
产褥期肌肉骨骼系统和结缔组织疾病,16
慢性后天性纯红细胞再生障碍性贫血,16
EB病毒遗传缺陷反应后的免疫缺陷,16
EB病毒阳性T细胞淋巴增殖性疾病,16
Erdheim-Chester病,16
与产褥期有关的轻度精神和行为障碍,16
与产褥期有关的重度精神和行为障碍,16
与慢性炎症相关弥漫大B细胞淋巴瘤,16
主动脉瓣和二尖瓣的其他先天性畸形,16
主要为非药用物质毒性效应的后遗症,16
主要影响心血管系统的其他制剂中毒,16
产褥期中麻醉的中枢神经系统并发症,16
与反流有关的非梗阻性慢性肾盂肾炎,16
人类免疫缺陷病毒病性结核性胸膜炎,16
在胚胎转移中企图植入胚胎的并发症,16
弥漫性甲状腺肿伴甲状腺功能亢进症,16
人类免疫缺陷病毒病性结核性腹膜炎,16
家族性噬血细胞淋巴组织细胞增生症,16
妊娠期间麻醉的中枢神经系统并发症,16
复发性寰枢不完全性脱位伴有脊髓病,16
使用酒精引起的其他精神和行为障碍,16
使用烟草引起的残留性精神病性障碍,16
会阴周围神经和自主神经交界性肿瘤,16
人类免疫缺陷病毒病性颈淋巴结结核,16
膈部周围神经和自主神经良性肿瘤,15
腰和其他椎间盘疾患伴有神经根病,15
腰部周围神经和自主神经恶性肿瘤,15
腰部周围神经和自主神经良性肿瘤,15
膈周围神经和自主神经交界性肿瘤,15
膈部周围神经和自主神经恶性肿瘤,15
营养不良相关性糖尿病伴有并发症,15
臀周围神经和自主神经交界性肿瘤,15
臀部周围神经和自主神经恶性肿瘤,15
臀部周围神经和自主神经良性肿瘤,15
苯丙胺类兴奋剂所致的遗忘综合征,15
足周围神经和自主神经交界性肿瘤,15
腕部周围神经和自主神经良性肿瘤,15
腰周围神经和自主神经交界性肿瘤,15
胸周围神经和自主神经交界性肿瘤,15
腕周围神经和自主神经交界性肿瘤,15
腕关节色素沉着绒毛结节性滑膜炎,15
腋部周围神经和自主神经良性肿瘤,15
腋部周围神经和自主神经恶性肿瘤,15
腋周围神经和自主神经交界性肿瘤,15
脐部周围神经和自主神经良性肿瘤,15
脐部周围神经和自主神经恶性肿瘤,15
脐周围神经和自主神经交界性肿瘤,15
胸骨的金属丝引起的机械性并发症,15
胸部周围神经和自主神经良性肿瘤,15
胸部周围神经和自主神经恶性肿瘤,15
足部周围神经和自主神经良性肿瘤,15
肩部周围神经和自主神经良性肿瘤,15
肩周围神经和自主神经交界性肿瘤,15
足部周围神经和自主神经恶性肿瘤,15
阻塞性睡眠呼吸暂停低通气综合征,15
踝关节色素沉着绒毛结节性滑膜炎,15
骶尾周围神经和自主神经恶性肿瘤,15
肘关节色素沉着绒毛结节性滑膜炎,15
髌骨次级骨化中心幼年型骨软骨病,15
髌骨初级骨化中心幼年型骨软骨病,15
髋部周围神经和自主神经良性肿瘤,15
髋部周围神经和自主神经恶性肿瘤,15
髋周围神经和自主神经交界性肿瘤,15
髋关节色素沉着绒毛结节性滑膜炎,15
髂部周围神经和自主神经良性肿瘤,15
髂部周围神经和自主神经恶性肿瘤,15
髂周围神经和自主神经交界性肿瘤,15
骶部周围神经和自主神经良性肿瘤,15
骶部周围神经和自主神经恶性肿瘤,15
骶尾周围神经和自主神经良性肿瘤,15
骶周围神经和自主神经交界性肿瘤,15
踝周围神经和自主神经交界性肿瘤,15
马来(布鲁格)丝虫引起的丝虫病,15
青少年发病的成人型糖尿病性肾病,15
隐匿性冠状动脉粥样硬化性心脏病,15
镇静剂或催眠剂所致的遗忘综合征,15
输尿管动态未定或动态未知的肿瘤,15
输卵管和阔韧带的其他先天性畸形,15
轻度精神发育迟缓伴精神病性障碍,15
转移性非角化性大细胞鳞状细胞癌,15
躯干结缔组织和软组织的恶性肿瘤,15
躯干周围神经和自主神经良性肿瘤,15
躯干周围神经和自主神经恶性肿瘤,15
踝部周围神经和自主神经良性肿瘤,15
踝部周围神经和自主神经恶性肿瘤,15
肩关节色素沉着绒毛结节性滑膜炎,15
妊娠期麻醉引起的门德尔松综合征,15
第一腕掌关节其他的继发性关节病,15
会阴周围神经和自主神经良性肿瘤,15
促结缔组织增生性成神经管细胞瘤,15
促结缔组织增生性婴儿星形细胞瘤,15
使用阿片类物质引起的遗忘综合征,15
使用阿片类物质引起的精神性障碍,15
使用阿片类物质引起的依赖综合征,15
使用致幻剂引起的精神和行为障碍,15
使用挥发性溶剂引起的遗忘综合征,15
使用挥发性溶剂引起的精神性障碍,15
使用挥发性溶剂引起的依赖综合征,15
使用大麻类物质引起的遗忘综合征,15
使用大麻类物质引起的精神性障碍,15
使用大麻类物质引起的依赖综合征,15
使用可卡因引起的精神和行为障碍,15
会阴周围神经和自主神经恶性肿瘤,15
双侧第一腕掌关节的创伤后关节病,15
人类免疫缺陷病毒病造成寄生虫病,15
人类免疫缺陷病毒病性多发性疾病,15
人工股骨头置换术后假体功能障碍,15
人工耳蜗植入后电极脱出的后遗症,15
产褥期麻醉相关的门德尔松综合征,15
产程和分娩期间麻醉的心脏并发症,15
产程和分娩期间麻醉的其他并发症,15
产程和分娩并发其他的脐带并发症,15
二尖瓣主动脉瓣三尖瓣联合瓣膜病,15
主要涉及四肢的先天性畸形综合征,15
主要影响胃肠系统的其他制剂中毒,15
与膀胱-输尿管反流有关的尿路病,15
第一腕掌关节其他的原发性关节病,15
副肿瘤综合征相关性肌无力综合征,15
产褥期麻醉引起的门德尔松综合征,15
双侧第一腕掌关节的原发性关节病,15
挥发性溶剂所致的精神和行为障碍,15
双杂合镰状细胞血红蛋白-SC病,15
第一腕掌关节其他的创伤后关节病,15
眼睑周围神经和自主神经良性肿瘤,15
眼睑周围神经和自主神经恶性肿瘤,15
直肠阴道隔结缔组织动态未定肿瘤,15
直肠乙状结肠连接部继发恶性肿瘤,15
直肠乙状结肠交界处动态未定肿瘤,15
独立(原发)多个部位的恶性肿瘤,15
正确用药所致药物性皮质醇增多症,15
松果体动态未定或动态未知的肿瘤,15
来自异位甲状腺组织的甲状腺毒症,15
暂时性新生儿甲状旁腺功能减退症,15
早期先天性梅毒性脉络膜视网膜炎,15
直肠周围神经和自主神经良性肿瘤,15
手部周围神经和自主神经良性肿瘤,15
富含淋巴细胞的经典霍奇金淋巴瘤,15
双杂合镰状细胞血红蛋白-SD病,15
手周围神经和自主神经交界性肿瘤,15
双杂合镰状细胞血红蛋白-SE病,15
唐氏综合征相关的骨髓增殖性疾病,15
妊娠期麻醉相关的门德尔松综合征,15
婴儿进行性脑灰质营养不良综合征,15
与支气管有关的淋巴样组织淋巴瘤,15
帝汶(布鲁格)丝虫引起的丝虫病,15
广州副圆线虫引起的血管圆线虫病,15
慢性子宫旁组织炎和盆腔蜂窝织炎,15
慢性弥漫性系膜增殖性肾小球肾炎,15
慢性炎症性脱髓鞘性多发性神经病,15
甲状腺功能减退型地方性呆小病,14
男性生殖器官皮肤动态未定肿瘤,14
泌尿器官移植物的机械性并发症,14
甲型H1N1流行性感冒性肺炎,14
琥珀酰亚胺和恶唑烷二酮类中毒,14
温抗体型自身免疫性溶血性贫血,14
涉及多个身体部位损伤的后遗症,14
泌尿系统的其他特指先天性畸形,14
泌尿系支架引起的机械性并发症,14
泌尿系导管引起的机械性并发症,14
极重度精神发育迟缓伴情感障碍,14
泌尿器官其他和未特指的原位癌,14
油脂类引起的刺激性接触性皮炎,14
永久性缝线引起的机械性并发症,14
极长链酰基辅酶A脱氢酶缺陷症,14
极长链酰基辅酶A脱氢酶缺乏症,14
极低密度脂蛋白型高脂蛋白血症,14
显微镜下多血管炎性周围神经病,14
新生儿其他特指的体温调节障碍,14
直肠动态未定或动态未知的肿瘤,14
新生儿Rh血型不合溶血性贫血,14
直肠乙状结肠连接部交界性肿瘤,14
膝部结缔组织和软组织恶性肿瘤,14
睾丸动态未定或动态未知的肿瘤,14
粘液水肿型先天性碘缺乏综合征,14
手周围神经和自主神经恶性肿瘤,14
齿状红核苍白球丘脑底核萎缩症,14
骶动态未定或动态未知恶性肿瘤,14
阿片类药所致的精神和行为障碍,14
转移性混合性嗜酸-嗜碱细胞癌,14
转移性乳房佩吉特病和导管内癌,14
诺沃克组病毒引起的急性胃肠病,14
获得性维生素K依赖因子缺乏症,14
艰难梭状芽孢杆菌性小肠结肠炎,14
腰和其他椎间盘疾患伴有脊髓病,14
腕周围神经和自主神经恶性肿瘤,14
胸部结缔组织和软组织恶性肿瘤,14
胸膜动态未定或动态未知的肿瘤,14
胸腺动态未定或动态未知的肿瘤,14
胸腔内淋巴结继发性的恶性肿瘤,14
肱骨内上髁淋巴结继发恶性肿瘤,14
肩周围神经和自主神经恶性肿瘤,14
股静脉的静脉炎和血栓性静脉炎,14
耻骨联合前淋巴结继发恶性肿瘤,14
纵隔动态未定或动态未知的肿瘤,14
粘贴剂引起的变应性接触性皮炎,14
挥发性溶剂所致的精神病性障碍,14
新生儿暂时性甲状腺功能亢进症,14
扁桃体和腺样体的其他慢性疾病,14
哈奇森黑素雀斑内恶性黑色素瘤,14
吡哆醇有效性铁粒幼红细胞贫血,14
去污剂引起的刺激性接触性皮炎,14
十二指肠憩室梗阻性黄疸综合征,14
创伤的某些早期并发症的后遗症,14
冷抗体型自身免疫性溶血性贫血,14
促甲状腺激素不适当分泌综合征,14
使用酒精引起的精神和行为障碍,14
使用烟草引起的精神和行为障碍,14
以妄想为主的急性精神病性障碍,14
人类免疫缺陷病毒病性弓形虫病,14
人类免疫缺陷病毒病性带状疱疹,14
人工关节置换术后假体功能障碍,14
产前出血伴纤维蛋白原缺乏血症,14
主要影响自主神经系统药物中毒,14
主动脉体和其他节旁体良性肿瘤,14
主动脉体和其他节旁体恶性肿瘤,14
与黏膜有关的淋巴样组织淋巴瘤,14
与遗传性共济失调有关的神经病,14
与皮肤有关的淋巴样组织淋巴瘤,14
三日疟原虫疟疾伴有其他并发症,14
成年型GM2神经节苷脂贮积症,14
含有咖啡因的兴奋剂依赖综合征,14
主要为全身性和血液学制剂中毒,14
嗜酸性粒细胞增多-肌痛综合征,14
幼年型GM2神经节苷脂贮积症,14
成人晚发自身免疫性糖尿病酮症,14
嗜麦芽窄食单胞菌感染性菌血症,14
成人手术后吸收障碍性骨软化症,14
慢性轻度重叠感染型病毒性肝炎,14
意义未明的单克隆丙种球蛋白病,14
恙虫病立克次体引起的斑疹伤寒,14
志贺痢疾杆菌引起的细菌性痢疾,14
循环系统其他特指的先天性畸形,14
弥漫性淋巴细胞为主型霍奇金病,14
慢性咽鼓管及鼓室化脓性中耳炎,14
孤立性蛋白尿伴有密集沉积物病,14
复合性霍奇金和非霍奇金淋巴瘤,14
妊娠合并高血压性心脏病和肾病,14
垂体动态未定或动态未知的肿瘤,14
复发性皮肤坏死性嗜酸性血管炎,14
复发性阿弗他女性生殖器官溃疡,14
妊娠合并先天性肾上腺皮质增生,14
妊娠合并卵巢子宫内膜异位囊肿,14
妊娠合并皮肤和皮下组织的疾病,14
复发性急性早幼粒细胞性白血病,14
正确用药所致类固醇性糖尿病,13
甲状腺功能亢进所致精神障碍,13
氯胺酮所致的精神和行为障碍,13
染料引起的变应性接触性皮炎,13
波氏志贺菌引起的细菌性痢疾,13
热带性肺嗜酸性粒细胞增多症,13
焦磷酸盐结晶性关节炎(病),13
甲状腺发育不全伴粘液性水肿,13
甲状腺功能减退所致精神障碍,13
甲状腺功能正常的病态综合征,13
甲状腺激素类及其代用品中毒,13
直肠乙状结肠连接处恶性肿瘤,13
直肠乙状结肠连接处良性肿瘤,13
有症状的其他晚期先天性梅毒,13
直肠乙状结肠连接部恶性肿瘤,13
朗格汉斯细胞组织细胞增生症,13
手术后缺氧性脑损害的后遗症,13
新生儿肠致病性大肠杆菌肠炎,13
手术后心脏异物残留的后遗症,13
直肠阴道壁结缔组织良性肿瘤,13
慢性弥漫性增殖性肾小球肾炎,13
慢性肾小球肾炎伴硬化性肾炎,13
慢性血栓栓塞性肺动脉高压症,13
成人隐匿性自身免疫性糖尿病,13
手术后坐骨神经损伤的后遗症,13
手术后颌骨异物残留的后遗症,13
新生儿肠粘附性大肠杆菌肠炎,13
持续性全身淋巴结肿大综合征,13
挥发性溶剂所致的遗忘综合征,13
新生儿(播散性)利斯特菌病,13
新生儿维生素K缺乏性出血症,13
新生儿肠侵袭性大肠杆菌肠炎,13
新生儿肠出血性大肠杆菌肠炎,13
直肠乙状结肠连接部良性肿瘤,13
转移性成(神经)胶质细胞瘤,13
直肠阴道隔结缔组织恶性肿瘤,13
近端指间关节周围胶原沉积症,13
营养不良性大疱性表皮松解症,13
被描述为动脉硬化性心血管病,13
贲门食管连接部继发恶性肿瘤,13
转移性精母细胞性精原细胞瘤,13
转移性黑色素瘤时全身黑变病,13
轻度精神发育迟缓伴情感障碍,13
链球菌感染后急性肾小球肾炎,13
眼假体眶引起的机械性并发症,13
阿片类药所致的精神病性障碍,13
额叶和丘脑及胼胝体恶性肿瘤,13
马尔凯萨尼(-魏尔)综合征,13
髋结缔组织和软组织恶性肿瘤,13
鸟氨酸氨甲酰基转移酶缺乏症,13
慢性NK细胞淋巴增殖性疾病,13
营养不良引起的成人骨软化症,13
获得性巨细胞性血小板减少症,13
获得性多灶性感觉运动神经病,13
舌前三分之二部位的恶性肿瘤,13
膝色素沉着绒毛结节性滑膜炎,13
胸腔内器官良性脂肪瘤样肿瘤,13
胸椎腰椎椎间盘突出伴脊髓病,13
肩结缔组织恶和软组织性肿瘤,13
磷酸烯醇丙酮酸羧激酶缺乏症,13
磷酸二钙结晶性关节炎(病),13
短暂后天性纯红细胞再生障碍,13
睾丸和阴囊的其他先天性畸形,13
眼睑痉挛-口下颌肌张力障碍,13
眼睑(包括眦)皮肤良性肿瘤,13
眼睑(包括眦)皮肤恶性肿瘤,13
眼睑(包括眦)恶性黑色素瘤,13
眼睑(包括眦)原位黑色素瘤,13
慢性后天性纯红细胞再生障碍,13
主动脉旁淋巴结继发恶性肿瘤,13
弥漫性(嗜酸细胞性)筋膜炎,13
人类免疫缺陷病毒病性肠结核,13
产科手术和操作的其他并发症,13
产程和分娩的其他特指并发症,13
产褥期皮肤和皮下组织的疾病,13
产褥期麻醉引起的吸入性肺炎,13
产褥期麻醉相关的吸入性肺炎,13
人工晶体引起的机械性并发症,13
人类免疫缺陷病毒病性肺结核,13
冠状动脉搭桥术机械性并发症,13
使用可卡因引起的依赖综合征,13
使用可卡因引起的精神性障碍,13
使用可卡因引起的遗忘综合征,13
使用致幻剂引起的依赖综合征,13
使用致幻剂引起的精神性障碍,13
使用致幻剂引起的遗忘综合征,13
产前特指物理学方法筛查畸形,13
产前出血伴低纤维蛋白原血症,13
亚急性或慢性感觉运动神经病,13
主要影响心血管系统制剂中毒,13
主动脉瓣和二尖瓣先天性畸形,13
Leri-Weill综合征,13
与肠病相关的T-细胞淋巴瘤,13
与男性因素有关的女性不孕症,13
与分娩有关的非化脓性乳腺炎,13
与人工授精有关的其他并发症,13
三日疟原虫疟疾不伴有并发症,13
三发性肾上腺皮质功能减退症,13
丁酰苯和硫蒽精神安定剂中毒,13
XY单纯性腺发育不全综合征,13
T淋巴母细胞白血病/淋巴瘤,13
N-乙酰谷氨酸合成酶缺乏症,13
幼年型髋关节和骨盆骨软骨病,13
促结缔组织增生性小圆细胞瘤,13
主要影响胃肠系统的制剂中毒,13
利斯特菌性脑膜炎和脑膜脑炎,13
宋内志贺菌引起的细菌性痢疾,13
幼年型胫骨和腓骨的骨软骨病,13
妊娠期麻醉引起的吸入性肺炎,13
妊娠期麻醉相关的吸入性肺炎,13
威斯科特-奥尔德里奇综合征,13
婴儿期短暂性低丙球蛋白血症,13
婴儿纯红细胞再生障碍性贫血,13
射频消融术后穿刺假性动脉瘤,13
妊娠合并血液和造血器官疾病,13
局部收敛药和局部去污剂中毒,13
布氏杆菌多发性神经根神经病,13
幼年型桡骨和尺骨的骨软骨病,13
幼年型类风湿因子阳性关节炎,13
幼年型类风湿因子阴性关节炎,13
双胎贫血-红细胞增多序列症,13
妊娠合并骨髓异常增生综合征,13
家族性淀粉样变性周围神经病,13
妊娠合并腹壁子宫内膜异位症,13
妊娠合并21-羟化酶缺乏症,13
可卡因所致的精神和行为障碍,13
妊娠合并瘙痒性荨麻疹性丘疹,13
含有咖啡因的兴奋剂急性中毒,13
咖啡因所致的精神和行为障碍,13
噬血细胞淋巴组织细胞增生症,13
坐骨直肠窝结缔组织良性肿瘤,13
唐氏综合征相关的髓系白血病,13
妊娠合并卵巢子宫内膜异位症,13
妊娠合并卵巢过度刺激综合征,13
妊娠合并原发性醛固酮增多症,13
妊娠合并家族性红细胞增多症,13
妊娠合并急性呼吸窘迫综合征,13
妊娠合并杜宾-约翰逊综合征,13
氯胺酮所致的精神病性障碍,12
甲状腺功能减低性心包积液,12
沃尔丹斯特伦巨球蛋白血症,12
消化器官其他特指的原位癌,12
烟草所致的精神和行为障碍,12
瓦尔代尔扁桃体环恶性肿瘤,12
瓦尔登斯特伦巨球蛋白血症,12
甲戊庚混合型肝炎后肝硬化,12
甲状旁腺功能减低合并肌病,12
直肠子宫陷凹继发恶性肿瘤,12
甲状腺激素及其衍生物中毒,12
直肠乙状结肠连接处原位癌,12
直肠乙状结肠连接部原位癌,12
直肠周围结缔组织恶性肿瘤,12
直肠子宫凹子宫内膜异位症,12
直肠阴道隔子宫内膜异位症,12
眼睑(包括眦)皮肤原位癌,12
